wavelength,throughput
300.0,0.0
301.0,0.0
302.0,0.0
303.0,0.0
304.0,0.0
305.0,0.0
306.0,0.0
307.0,0.0
308.0,0.0
309.0,0.0
310.0,0.2162635160699
311.0,0.23411800120643997
312.0,0.24334345993950002
313.0,0.23859350311566
314.0,0.22731447174890998
315.0,0.21519040234049996
316.0,0.21111928106282998
317.0,0.22005757575071996
318.0,0.23382650604544003
319.0,0.25365579460494003
320.0,0.27214718652023
321.0,0.27958657442478
322.0,0.2636042213796
323.0,0.23192984656028004
324.0,0.198532565035
325.0,0.19588883475033
326.0,0.22730304896543996
327.0,0.27602858611779
328.0,0.29971452624399997
329.0,0.29214610582008
330.0,0.26959256327520004
331.0,0.2656191982167
332.0,0.28864826041530006
333.0,0.32778109711305
334.0,0.35666945331784006
335.0,0.369407576769
336.0,0.3686877178724
337.0,0.36686848893828
338.0,0.37005449798025003
339.0,0.37520201852086
340.0,0.38139760640520004
341.0,0.38670207755844005
342.0,0.38930421253593006
343.0,0.39751081603331
344.0,0.40335512100354
345.0,0.40764270305670003
346.0,0.41040258071862
347.0,0.41462030127683003
348.0,0.41715584409968
349.0,0.42115105300968003
350.0,0.42511126859352
351.0,0.42818216048937996
352.0,0.42968687779985
353.0,0.42930292318188
354.0,0.43204169400840003
355.0,0.42947721895696006
356.0,0.42769304138893005
357.0,0.42644551314973994
358.0,0.43163277604128003
359.0,0.44373571349015994
360.0,0.45064032537375
361.0,0.45480243565250994
362.0,0.46094703951536
363.0,0.46644743337704003
364.0,0.47101799750412005
365.0,0.4749896449949
366.0,0.47942665758624003
367.0,0.48570305274486
368.0,0.49210844024769007
369.0,0.49639719346059996
370.0,0.50067150835104
371.0,0.50298466006543
372.0,0.50889656060646
373.0,0.51391898339564
374.0,0.51762491053599
375.0,0.52298477703188
376.0,0.5262764686911601
377.0,0.5288434364294099
378.0,0.5341953771462
379.0,0.5351060757432
380.0,0.5392984295921099
381.0,0.54359593926755
382.0,0.5459618775264
383.0,0.5480997511644901
384.0,0.5475101746527
385.0,0.54884856791034
386.0,0.54867557230075
387.0,0.55305371628387
388.0,0.55567672353891
389.0,0.5576224530576
390.0,0.55735197836177
391.0,0.5563607854266
392.0,0.5563761723317601
393.0,0.55492961992552
394.0,0.5561734685962799
395.0,0.5557673981872
396.0,0.55194321565284
397.0,0.54843386229072
398.0,0.54560038800706
399.0,0.54489449064312
400.0,0.54601575105372
401.0,0.5494123530726
402.0,0.55034314114494
403.0,0.5514534713746
404.0,0.55445254878101
405.0,0.55487184300702
406.0,0.55615791805414
407.0,0.5583303373323499
408.0,0.56209765027793
409.0,0.56164905743751
410.0,0.56559415201245
411.0,0.56566315714032
412.0,0.56522656600782
413.0,0.56574920996943
414.0,0.56700348647624
415.0,0.5666638135751999
416.0,0.57077385295428
417.0,0.56954496658767
418.0,0.5705821046690001
419.0,0.5696003479122
420.0,0.5688041398572
421.0,0.56495661934584
422.0,0.56499616201167
423.0,0.5634446513252
424.0,0.56437393247265
425.0,0.5653676239380301
426.0,0.56401484563792
427.0,0.5608410655064999
428.0,0.5573129969819399
429.0,0.5556577330980901
430.0,0.5473785791286
431.0,0.542407633086
432.0,0.54192568907162
433.0,0.5437163052915
434.0,0.5460103434403399
435.0,0.55162767802503
436.0,0.5521369851635399
437.0,0.5531079208829199
438.0,0.55514927482569
439.0,0.5542478426496
440.0,0.55363238900032
441.0,0.55439633853708
442.0,0.5568072430828901
443.0,0.55743104229494
444.0,0.5577896160245499
