wavelength,throughput
3.000000e+02,0.000000e+00
3.010000e+02,0.000000e+00
3.020000e+02,0.000000e+00
3.030000e+02,0.000000e+00
3.040000e+02,0.000000e+00
3.050000e+02,0.000000e+00
3.060000e+02,0.000000e+00
3.070000e+02,0.000000e+00
3.080000e+02,0.000000e+00
3.090000e+02,0.000000e+00
3.100000e+02,2.976415e-01
3.110000e+02,3.215298e-01
3.120000e+02,3.345975e-01
3.130000e+02,3.276498e-01
3.140000e+02,3.116869e-01
3.150000e+02,2.952315e-01
3.160000e+02,2.895543e-01
3.170000e+02,3.008046e-01
3.180000e+02,3.206434e-01
3.190000e+02,3.486518e-01
3.200000e+02,3.723367e-01
3.210000e+02,3.822483e-01
3.220000e+02,3.609096e-01
3.230000e+02,3.170354e-01
3.240000e+02,2.710750e-01
3.250000e+02,2.682093e-01
3.260000e+02,3.103968e-01
3.270000e+02,3.768207e-01
3.280000e+02,4.098436e-01
3.290000e+02,3.986228e-01
3.300000e+02,3.667455e-01
3.310000e+02,3.616245e-01
3.320000e+02,3.942105e-01
3.330000e+02,4.456669e-01
3.340000e+02,4.856228e-01
3.350000e+02,5.028940e-01
3.360000e+02,5.011480e-01
3.370000e+02,4.994062e-01
3.380000e+02,5.029469e-01
3.390000e+02,5.091722e-01
3.400000e+02,5.188920e-01
3.410000e+02,5.247102e-01
3.420000e+02,5.313379e-01
3.430000e+02,5.393017e-01
3.440000e+02,5.474369e-01
3.450000e+02,5.538030e-01
3.460000e+02,5.573019e-01
3.470000e+02,5.599187e-01
3.480000e+02,5.631976e-01
3.490000e+02,5.683076e-01
3.500000e+02,5.728654e-01
3.510000e+02,5.748941e-01
3.520000e+02,5.762933e-01
3.530000e+02,5.777497e-01
3.540000e+02,5.784527e-01
3.550000e+02,5.768792e-01
3.560000e+02,5.728007e-01
3.570000e+02,5.712286e-01
3.580000e+02,5.796542e-01
3.590000e+02,5.919627e-01
3.600000e+02,6.043875e-01
3.610000e+02,6.092979e-01
3.620000e+02,6.172456e-01
3.630000e+02,6.246964e-01
3.640000e+02,6.312963e-01
3.650000e+02,6.360733e-01
3.660000e+02,6.422402e-01
3.670000e+02,6.498463e-01
3.680000e+02,6.590217e-01
3.690000e+02,6.643627e-01
3.700000e+02,6.703916e-01
3.710000e+02,6.732043e-01
3.720000e+02,6.819378e-01
3.730000e+02,6.874316e-01
3.740000e+02,6.928347e-01
3.750000e+02,6.994891e-01
3.760000e+02,7.046538e-01
3.770000e+02,7.081791e-01
3.780000e+02,7.136690e-01
3.790000e+02,7.182844e-01
3.800000e+02,7.222791e-01
3.810000e+02,7.272707e-01
3.820000e+02,7.300320e-01
3.830000e+02,7.319457e-01
3.840000e+02,7.314174e-01
3.850000e+02,7.322346e-01
3.860000e+02,7.340657e-01
3.870000e+02,7.386959e-01
3.880000e+02,7.419639e-01
3.890000e+02,7.443541e-01
3.900000e+02,7.441193e-01
3.910000e+02,7.429380e-01
3.920000e+02,7.423592e-01
3.930000e+02,7.403239e-01
3.940000e+02,7.427444e-01
3.950000e+02,7.414661e-01
3.960000e+02,7.360716e-01
3.970000e+02,7.327278e-01
3.980000e+02,7.289077e-01
3.990000e+02,7.273176e-01
4.000000e+02,7.276403e-01
4.010000e+02,7.311030e-01
4.020000e+02,7.338342e-01
4.030000e+02,7.360130e-01
4.040000e+02,7.374931e-01
4.050000e+02,7.397874e-01
4.060000e+02,7.402522e-01
4.070000e+02,7.419973e-01
4.080000e+02,7.463677e-01
4.090000e+02,7.479297e-01
4.100000e+02,7.509909e-01
4.110000e+02,7.518768e-01
4.120000e+02,7.511043e-01
4.130000e+02,7.516441e-01
4.140000e+02,7.513928e-01
4.150000e+02,7.546510e-01
4.160000e+02,7.568343e-01
4.170000e+02,7.565757e-01
4.180000e+02,7.569950e-01
4.190000e+02,7.557684e-01
4.200000e+02,7.541845e-01
4.210000e+02,7.492692e-01
4.220000e+02,7.486317e-01
4.230000e+02,7.474420e-01
4.240000e+02,7.478655e-01
4.250000e+02,7.479497e-01
4.260000e+02,7.464568e-01
4.270000e+02,7.439650e-01
4.280000e+02,7.392323e-01
4.290000e+02,7.330077e-01
4.300000e+02,7.259297e-01
4.310000e+02,7.176090e-01
4.320000e+02,7.155799e-01
4.330000e+02,7.194765e-01
4.340000e+02,7.227313e-01
4.350000e+02,7.290347e-01
4.360000e+02,7.303521e-01
4.370000e+02,7.314613e-01
4.380000e+02,7.318251e-01
4.390000e+02,7.310480e-01
4.400000e+02,7.309792e-01
4.410000e+02,7.325292e-01
4.420000e+02,7.351931e-01
4.430000e+02,7.361398e-01
4.440000e+02,7.351435e-01
4.450000e+02,7.340149e-01
4.460000e+02,7.299413e-01
4.470000e+02,7.268388e-01
4.480000e+02,7.260326e-01
4.490000e+02,7.274954e-01
4.500000e+02,7.283738e-01
4.510000e+02,7.283820e-01
