3.000000e+02,0.000000e+00
3.010000e+02,0.000000e+00
3.020000e+02,0.000000e+00
3.030000e+02,0.000000e+00
3.040000e+02,0.000000e+00
3.050000e+02,0.000000e+00
3.060000e+02,0.000000e+00
3.070000e+02,0.000000e+00
3.080000e+02,0.000000e+00
3.090000e+02,0.000000e+00
3.100000e+02,8.825962e-02
3.110000e+02,9.709754e-02
3.120000e+02,1.030002e-01
3.130000e+02,1.027527e-01
3.140000e+02,9.937024e-02
3.150000e+02,9.608678e-02
3.160000e+02,9.569716e-02
3.170000e+02,1.012102e-01
3.180000e+02,1.099308e-01
3.190000e+02,1.217235e-01
3.200000e+02,1.317494e-01
3.210000e+02,1.380151e-01
3.220000e+02,1.326988e-01
3.230000e+02,1.186408e-01
3.240000e+02,1.030459e-01
3.250000e+02,1.035213e-01
3.260000e+02,1.219352e-01
3.270000e+02,1.505936e-01
3.280000e+02,1.668981e-01
3.290000e+02,1.645302e-01
3.300000e+02,1.540918e-01
3.310000e+02,1.543060e-01
3.320000e+02,1.713103e-01
3.330000e+02,1.962674e-01
3.340000e+02,2.170263e-01
3.350000e+02,2.279133e-01
3.360000e+02,2.309291e-01
3.370000e+02,2.335335e-01
3.380000e+02,2.386353e-01
3.390000e+02,2.440388e-01
3.400000e+02,2.525123e-01
3.410000e+02,2.591710e-01
3.420000e+02,2.662924e-01
3.430000e+02,2.741658e-01
3.440000e+02,2.814755e-01
3.450000e+02,2.890086e-01
3.460000e+02,2.951207e-01
3.470000e+02,3.007905e-01
3.480000e+02,3.072343e-01
3.490000e+02,3.135241e-01
3.500000e+02,3.195328e-01
3.510000e+02,3.241354e-01
3.520000e+02,3.296171e-01
3.530000e+02,3.351429e-01
3.540000e+02,3.398078e-01
3.550000e+02,3.415219e-01
3.560000e+02,3.424158e-01
3.570000e+02,3.448912e-01
3.580000e+02,3.545874e-01
3.590000e+02,3.668120e-01
3.600000e+02,3.780738e-01
3.610000e+02,3.845204e-01
3.620000e+02,3.934048e-01
3.630000e+02,4.025334e-01
3.640000e+02,4.121997e-01
3.650000e+02,4.202575e-01
3.660000e+02,4.287817e-01
3.670000e+02,4.378063e-01
3.680000e+02,4.474180e-01
3.690000e+02,4.561192e-01
3.700000e+02,4.651202e-01
3.710000e+02,4.727677e-01
3.720000e+02,4.826778e-01
3.730000e+02,4.905912e-01
3.740000e+02,4.976450e-01
3.750000e+02,5.053995e-01
3.760000e+02,5.141804e-01
3.770000e+02,5.218272e-01
3.780000e+02,5.309864e-01
3.790000e+02,5.374238e-01
3.800000e+02,5.436296e-01
3.810000e+02,5.506028e-01
3.820000e+02,5.578748e-01
3.830000e+02,5.645323e-01
3.840000e+02,5.699915e-01
3.850000e+02,5.751494e-01
3.860000e+02,5.804224e-01
3.870000e+02,5.863630e-01
3.880000e+02,5.927958e-01
3.890000e+02,5.999451e-01
3.900000e+02,6.057057e-01
3.910000e+02,6.099800e-01
3.920000e+02,6.138646e-01
3.930000e+02,6.150822e-01
3.940000e+02,6.201319e-01
3.950000e+02,6.226655e-01
3.960000e+02,6.224280e-01
3.970000e+02,6.237476e-01
3.980000e+02,6.254830e-01
3.990000e+02,6.283700e-01
4.000000e+02,6.305748e-01
4.010000e+02,6.355016e-01
4.020000e+02,6.397999e-01
4.030000e+02,6.459719e-01
4.040000e+02,6.514531e-01
4.050000e+02,6.576848e-01
4.060000e+02,6.623154e-01
4.070000e+02,6.665567e-01
4.080000e+02,6.723894e-01
4.090000e+02,6.764832e-01
4.100000e+02,6.819432e-01
4.110000e+02,6.862311e-01
4.120000e+02,6.906083e-01
4.130000e+02,6.954036e-01
4.140000e+02,6.994787e-01
4.150000e+02,7.052025e-01
4.160000e+02,7.091103e-01
4.170000e+02,7.115509e-01
4.180000e+02,7.146232e-01
4.190000e+02,7.177945e-01
4.200000e+02,7.205826e-01
4.210000e+02,7.210426e-01
4.220000e+02,7.230424e-01
4.230000e+02,7.245027e-01
4.240000e+02,7.258320e-01
4.250000e+02,7.276725e-01
4.260000e+02,7.279513e-01
4.270000e+02,7.281093e-01
4.280000e+02,7.268803e-01
4.290000e+02,7.241496e-01
4.300000e+02,7.196884e-01
4.310000e+02,7.139473e-01
4.320000e+02,7.127661e-01
4.330000e+02,7.166513e-01
4.340000e+02,7.215753e-01
4.350000e+02,7.295652e-01
4.360000e+02,7.342950e-01
4.370000e+02,7.388427e-01
4.380000e+02,7.426606e-01
4.390000e+02,7.444591e-01
4.400000e+02,7.461043e-01
4.410000e+02,7.485255e-01
4.420000e+02,7.529484e-01
4.430000e+02,7.556412e-01
4.440000e+02,7.572272e-01
4.450000e+02,7.595680e-01
4.460000e+02,7.597122e-01
4.470000e+02,7.599872e-01
4.480000e+02,7.617582e-01
4.490000e+02,7.641526e-01
4.500000e+02,7.667965e-01
4.510000e+02,7.676179e-01
