wavelength,throughput
4.990000e+02,3.750724e-01
5.000000e+02,3.705502e-01
5.010000e+02,3.672821e-01
5.020000e+02,3.649091e-01
5.030000e+02,3.620862e-01
5.040000e+02,3.589153e-01
5.050000e+02,3.547623e-01
5.060000e+02,3.524006e-01
5.070000e+02,3.479726e-01
5.080000e+02,3.449732e-01
5.090000e+02,3.406745e-01
5.100000e+02,3.379765e-01
5.110000e+02,3.350884e-01
5.120000e+02,3.322968e-01
5.130000e+02,3.293195e-01
5.140000e+02,3.257027e-01
5.150000e+02,3.220971e-01
5.160000e+02,3.189370e-01
5.170000e+02,3.147604e-01
5.180000e+02,3.105948e-01
5.190000e+02,3.066248e-01
5.200000e+02,3.020177e-01
5.210000e+02,2.990396e-01
5.220000e+02,2.959640e-01
5.230000e+02,2.923369e-01
5.240000e+02,2.903369e-01
5.250000e+02,2.873164e-01
5.260000e+02,2.855427e-01
5.270000e+02,2.824221e-01
5.280000e+02,2.794519e-01
5.290000e+02,2.765022e-01
5.300000e+02,2.744238e-01
5.310000e+02,2.715370e-01
5.320000e+02,2.688694e-01
5.330000e+02,2.659627e-01
5.340000e+02,2.631581e-01
5.350000e+02,2.609159e-01
5.360000e+02,2.577289e-01
5.370000e+02,2.549922e-01
5.380000e+02,2.515914e-01
5.390000e+02,2.483711e-01
5.400000e+02,2.454709e-01
5.410000e+02,2.430473e-01
5.420000e+02,2.401521e-01
5.430000e+02,2.372544e-01
5.440000e+02,2.344648e-01
5.450000e+02,2.314782e-01
5.460000e+02,2.283318e-01
5.470000e+02,2.259040e-01
5.480000e+02,2.230184e-01
5.490000e+02,2.196309e-01
5.500000e+02,2.165283e-01
5.510000e+02,2.128192e-01
5.520000e+02,2.077658e-01
5.530000e+02,2.000786e-01
5.540000e+02,1.887564e-01
5.550000e+02,1.721695e-01
5.560000e+02,1.509501e-01
5.570000e+02,1.290238e-01
5.580000e+02,1.112445e-01
5.590000e+02,9.839508e-02
5.600000e+02,8.843392e-02
5.610000e+02,0.000000e+00
5.620000e+02,0.000000e+00
5.630000e+02,0.000000e+00
5.640000e+02,0.000000e+00
5.650000e+02,0.000000e+00
5.660000e+02,0.000000e+00
5.670000e+02,0.000000e+00
5.680000e+02,0.000000e+00
5.690000e+02,0.000000e+00
5.700000e+02,0.000000e+00
5.710000e+02,0.000000e+00
5.720000e+02,0.000000e+00
5.730000e+02,0.000000e+00
5.740000e+02,0.000000e+00
5.750000e+02,0.000000e+00
5.760000e+02,0.000000e+00
5.770000e+02,0.000000e+00
5.780000e+02,0.000000e+00
5.790000e+02,0.000000e+00
5.800000e+02,0.000000e+00
5.810000e+02,0.000000e+00
5.820000e+02,0.000000e+00
5.830000e+02,0.000000e+00
5.840000e+02,0.000000e+00
5.850000e+02,0.000000e+00
5.860000e+02,0.000000e+00
5.870000e+02,0.000000e+00
5.880000e+02,0.000000e+00
5.890000e+02,0.000000e+00
5.900000e+02,0.000000e+00
5.910000e+02,0.000000e+00
5.920000e+02,0.000000e+00
5.930000e+02,0.000000e+00
5.940000e+02,0.000000e+00
5.950000e+02,0.000000e+00
5.960000e+02,0.000000e+00
5.970000e+02,0.000000e+00
5.980000e+02,0.000000e+00
5.990000e+02,0.000000e+00
6.000000e+02,0.000000e+00
6.010000e+02,0.000000e+00
6.020000e+02,0.000000e+00
6.030000e+02,0.000000e+00
6.040000e+02,0.000000e+00
6.050000e+02,0.000000e+00
6.060000e+02,0.000000e+00
6.070000e+02,0.000000e+00
6.080000e+02,0.000000e+00
6.090000e+02,0.000000e+00
6.100000e+02,0.000000e+00
6.110000e+02,0.000000e+00
6.120000e+02,0.000000e+00
6.130000e+02,0.000000e+00
6.140000e+02,0.000000e+00
6.150000e+02,0.000000e+00
6.160000e+02,0.000000e+00
6.170000e+02,0.000000e+00
6.180000e+02,0.000000e+00
6.190000e+02,0.000000e+00
6.200000e+02,0.000000e+00
